Id,Distributor
1,Paramount Pictures
2,Screen Gems
3,Universal Pictures
4,New Line Cinema
5,Miramax
6,DreamWorks Distribution
7,Fox Searchlight Pictures
8,Focus Features
9,Twentieth Century Fox
10,Walt Disney Studios Motion Pictures
11,Metro-Goldwyn-Mayer (MGM)
12,Warner Bros.
13,-
14,Warner Independent Pictures (WIP)
15,Lionsgate
16,United Artists
17,Paramount Classics
18,Open Road Films (II)
19,Sony Pictures Entertainment (SPE)
20,Aviron Pictures
21,Annapurna Pictures
22,TriStar Pictures
23,FUNimation Entertainment
24,STX Entertainment
25,Reliance Big Pictures
26,The Weinstein Company
27,A24
28,Roadside Attractions
29,Neon
30,Broad Green Pictures
31,Bleecker Street Media
32,The Orchard
33,Purdie Distribution
34,Matson Films
35,GKIDS
36,Cohen Media Group
37,The Cinema Guild
38,GathrFilms
39,Icarus Films
40,IFC Films
41,Revolution Studios
42,Dimension Films
