MovieId,GenreId
1,1
1,2
1,3
2,1
2,4
2,5
3,6
3,7
3,8
4,6
4,8
4,9
5,1
5,10
5,11
6,1
6,2
6,7
7,2
7,6
7,3
8,1
8,10
8,7
9,6
10,1
10,3
10,11
11,7
12,6
12,7
12,8
13,1
13,10
13,7
14,6
14,12
14,8
15,1
15,2
15,4
16,7
16,3
16,8
17,7
17,3
17,5
18,4
18,3
18,11
19,1
19,3
19,5
20,1
20,2
20,4
21,13
21,7
21,3
22,1
22,5
22,11
23,14
23,7
23,15
24,1
24,10
24,16
25,10
25,4
25,3
26,2
26,12
26,16
27,17
28,7
28,8
29,7
29,8
30,18
30,9
31,7
31,8
31,11
32,1
32,2
32,5
33,10
33,7
34,6
34,12
34,8
35,17
35,7
36,7
36,8
37,10
37,7
37,3
38,4
38,3
38,11
39,1
39,7
39,19
40,13
40,2
40,6
41,13
41,2
41,6
42,1
42,2
42,7
43,1
43,2
43,5
44,14
44,7
45,1
45,11
46,1
46,10
46,11
47,13
47,2
47,6
48,1
48,2
48,7
49,10
49,7
49,19
50,1
50,10
50,7
51,13
51,1
51,2
52,1
52,2
52,16
53,6
53,7
53,8
54,1
54,2
54,16
55,18
56,6
56,7
56,8
57,10
57,7
57,3
58,13
58,2
58,6
59,18
60,1
60,2
60,6
61,1
61,2
61,6
62,13
62,1
62,2
63,7
64,1
64,2
64,16
65,6
65,10
66,10
66,7
66,11
67,7
67,8
68,6
68,7
69,1
69,2
69,16
70,7
70,16
70,4
71,7
72,1
72,14
72,7
73,13
73,2
73,6
74,6
74,7
75,7
75,8
76,6
77,13
77,7
77,19
78,6
78,8
79,6
80,4
80,5
80,11
81,7
82,18
83,7
83,19
83,8
84,13
84,7
84,16
85,14
85,7
85,19
86,6
86,7
86,8
87,18
88,18
89,18
89,15
90,7
90,11
91,6
91,7
91,8
92,7
92,3
92,5
93,10
93,7
93,3
94,1
94,2
94,7
95,1
95,2
95,6
96,1
96,2
96,6
97,10
97,4
97,11
98,7
98,8
98,9
99,6
99,8
100,7
100,8
101,7
101,11
102,10
102,7
102,11
103,2
103,6
103,12
104,1
104,10
104,7
105,1
105,3
105,11
106,2
106,6
106,12
107,1
107,2
107,16
108,13
108,2
108,6
109,1
109,10
109,3
110,18
110,6
111,1
111,6
111,11
112,6
112,8
113,6
113,12
113,16
114,1
114,2
114,6
115,18
115,20
116,7
116,3
116,11
117,1
117,6
117,5
118,1
118,6
118,10
119,6
120,7
120,15
120,8
121,1
121,2
121,5
122,6
122,10
122,3
123,13
123,2
123,6
124,7
124,21
124,8
125,1
125,2
125,16
126,6
127,10
127,7
127,16
128,2
128,6
128,12
129,2
129,6
129,5
130,7
131,13
131,2
131,6
132,7
132,9
133,14
133,6
133,7
134,7
134,3
134,8
135,7
136,14
136,6
136,7
137,2
137,12
137,16
138,7
138,21
138,8
139,14
139,7
139,15
140,6
140,12
140,8
141,13
141,2
141,6
142,6
142,8
143,7
143,8
144,6
144,10
144,7
145,10
145,7
145,11
146,1
146,2
146,6
147,14
147,7
147,22
148,6
148,10
148,7
149,4
149,3
150,14
150,10
150,7
151,14
151,7
151,19
152,1
152,2
152,7
153,7
153,12
153,9
154,7
154,8
155,7
155,11
156,6
156,7
156,8
157,13
157,2
157,6
158,6
158,10
158,3
159,7
159,3
159,11
