Id,Title,ReleaseDate
1,Sky Captain and the World of Tomorrow,2004
2,Resident Evil: Apocalypse,2004
3,Mr. 3000,2004
4,Wimbledon,2004
5,Cellular,2004
6,Hero,2002
7,Without a Paddle,2004
8,Collateral,2004
9,Napoleon Dynamite,2004
10,The Bourne Supremacy,2004
11,Vanity Fair,2004
12,Garden State,2004
13,Paparazzi,2004
14,The Princess Diaries 2: Royal Engagement,2004
15,Anacondas: The Hunt for the Blood Orchid,2004
16,Wicker Park,2004
17,The Manchurian Candidate,2004
18,Exorcist: The Beginning,2004
19,"I, Robot",2004
20,Alien vs. Predator,2004
21,Ghost in the Shell 2: Innocence,2004
22,Criminal,2016
23,De-Lovely,2004
24,Catwoman,2004
25,Suspect Zero,2004
26,Harry Potter and the Prisoner of Azkaban,2004
27,Dodgeball,2001
28,Before Sunset,2004
29,We Don't Live Here Anymore,2004
30,NASCAR: The IMAX Experience,2004
31,Intimate Strangers,2004
32,The Day After Tomorrow,2004
33,Mean Creek,2004
34,A Cinderella Story,2004
35,Garfield,2017
36,A Home at the End of the World,2004
37,I'll Sleep When I'm Dead,2003
38,Annabelle: Creation,2017
39,Dunkirk,2017
40,The Nut Job 2: Nutty by Nature,2017
41,The Emoji Movie,2017
42,The Dark Tower,2017
43,Spider-Man: Homecoming,2017
44,The Glass Castle,2017
45,Atomic Blonde,2017
46,Kidnap,2017
47,Despicable Me 3,2017
48,War for the Planet of the Apes,2017
49,Detroit,2017
50,Baby Driver,2017
51,Fairy Tail: Dragon Cry,2017
52,Wonder Woman,2017
53,The Big Sick,2017
54,Valerian and the City of a Thousand Planets,2017
55,An Inconvenient Sequel: Truth to Power,2017
56,Toilet: A Love Story,2017
57,Wind River,2017
58,Cars 3,2017
59,Step,2017
60,Guardians of the Galaxy Vol. 2,2017
61,Transformers: The Last Knight,2017
62,Captain Underpants: The First Epic Movie,2017
63,Menashe,2017
64,Pirates of the Caribbean: Dead Men Tell No Tales,2017
65,The House,2017
66,Good Time,2017
67,Lady Macbeth,2016
68,Ingrid Goes West,2017
69,The Mummy,1999
70,Wish Upon,2017
71,The Only Living Boy in New York,2017
72,Megan Leavey,2017
73,The Boss Baby,2017
74,Beatriz at Dinner,2017
75,The Hero,2017
76,Rough Night,2017
77,In This Corner of the World,2016
78,Mubarakan,2017
79,"We Love You, Sally Carmichael!",2017
80,Alien: Covenant,2017
81,"Love, Kennedy",2017
82,The Last Dalai Lama?,2016
83,The Exception,2016
84,The Girl Without Hands,2016
85,Churchill,2017
86,4 Days in France,2016
87,Walk With Me,2017
88,My Journey Through French Cinema,2016
89,Mali Blues,2016
90,Swimfan,2002
91,My Big Fat Greek Wedding,2002
92,Signs,2002
93,City by the Sea,2002
94,xXx,2002
95,Spy Kids 2: Island of Lost Dreams,2002
96,Austin Powers in Goldmember,2002
97,Feardotcom,2002
98,Blue Crush,2002
99,Serving Sara,2002
100,The Good Girl,2002
101,One Hour Photo,2002
102,Road to Perdition,2002
103,The Master of Disguise,2002
104,Blood Work,2002
105,The Bourne Identity,2002
106,Stuart Little 2,2002
107,Star Wars: Episode II - Attack of the Clones,2002
108,Lilo & Stitch,2002
109,Minority Report,2002
110,Martin Lawrence Live: Runteldat,2002
111,Bad Company,2002
112,Mr. Deeds,2002
113,Like Mike,2002
114,Eight Legged Freaks,2002
115,The Widowmaker,2015
116,Insomnia,2002
117,The Adventures of Pluto Nash,2002
118,Love and a Bullet,2002
119,American Pie 2,2001
120,Captain Corelli's Mandolin,2001
121,Jurassic Park III,2001
122,The Curse of the Jade Scorpion,2001
123,Shrek,2001
124,Moulin Rouge!,2001
125,The Mummy Returns,2001
126,Next Friday,2000
127,The Green Mile,1999
128,Stuart Little,1999
129,Galaxy Quest,1999
130,Magnolia,1999
131,Toy Story 2,1999
132,Any Given Sunday,1999
133,Isn't She Great,2000
134,Snow Falling on Cedars,1999
135,American Beauty,1999
136,Man on the Moon,1999
137,Harry Potter and the Goblet of Fire,2005
138,Rent,2005
139,Walk the Line,2005
140,"Yours, Mine & Ours",2005
141,Chicken Little,2005
142,Just Friends,2005
143,Pride & Prejudice,2005
144,In the Mix,2005
145,Derailed,2005
146,Zathura: A Space Adventure,2005
147,Jarhead,2005
148,The Ice Harvest,2005
149,Saw II,2005
150,Get Rich or Die Tryin',2005
151,"Good Night, and Good Luck.",2005
152,The Legend of Zorro,2005
153,Dreamer,2005
154,Shopgirl,2005
155,Syriana,2005
156,Prime,2005
157,Wallace & Gromit: The Curse of the Were-Rabbit,2005
158,Kiss Kiss Bang Bang,2005
159,Flightplan,2005
